"partition_description", "runtime (milliseconds)"
c_mktsegment-l_shipinstruct-p_brand,24813
c_mktsegment-l_shipinstruct-p_container,25202
c_mktsegment-l_shipinstruct-p_size,25821
c_mktsegment-l_shipinstruct-p_type,25009
c_mktsegment-l_shipmode-p_brand,28945
c_mktsegment-l_shipmode-p_container,25447
c_mktsegment-l_shipmode-p_size,25417
c_mktsegment-l_shipmode-p_type,25860
c_nationkey-l_commitdate-p_brand,49907
c_nationkey-l_commitdate-p_container,44552
c_nationkey-l_commitdate-p_size,49501
c_nationkey-l_commitdate-p_type,46063
c_nationkey-l_discount-p_brand,26037
c_nationkey-l_discount-p_container,27436
c_nationkey-l_discount-p_size,27300
c_nationkey-l_discount-p_type,27496
c_nationkey-l_quantity-p_brand,32200
c_nationkey-l_quantity-p_container,28118
c_nationkey-l_quantity-p_size,28192
c_nationkey-l_quantity-p_type,29344
c_nationkey-l_receiptdate-p_brand,48444
c_nationkey-l_receiptdate-p_container,50126
c_nationkey-l_receiptdate-p_size,50426
c_nationkey-l_receiptdate-p_type,46346
c_nationkey-l_returnflag-p_brand,25266
c_nationkey-l_returnflag-p_container,25707
c_nationkey-l_returnflag-p_size,25126
c_nationkey-l_returnflag-p_type,26589
c_nationkey-l_shipdate-p_brand,45679
c_nationkey-l_shipdate-p_container,45452
c_nationkey-l_shipdate-p_size,40936
c_nationkey-l_shipdate-p_type,47577
c_nationkey-l_shipinstruct-p_brand,25201
c_nationkey-l_shipinstruct-p_container,24708
c_nationkey-l_shipinstruct-p_size,25124
c_nationkey-l_shipinstruct-p_type,25812
c_nationkey-l_shipmode-p_brand,26446
c_nationkey-l_shipmode-p_container,27036
c_nationkey-l_shipmode-p_size,27215
c_nationkey-l_shipmode-p_type,26297
c_phone-l_commitdate-p_brand,94893
c_phone-l_commitdate-p_container,95626
c_phone-l_commitdate-p_size,97273
c_phone-l_commitdate-p_type,96431
c_phone-l_discount-p_brand,76625
c_phone-l_discount-p_container,73902
c_phone-l_discount-p_size,76656
c_phone-l_discount-p_type,70387
c_phone-l_quantity-p_brand,74650
c_phone-l_quantity-p_container,76275
c_phone-l_quantity-p_size,79399
c_phone-l_quantity-p_type,73092
c_phone-l_receiptdate-p_brand,91994
c_phone-l_receiptdate-p_container,93031
c_phone-l_receiptdate-p_size,94682
c_phone-l_receiptdate-p_type,96332
c_phone-l_returnflag-p_brand,72673
c_phone-l_returnflag-p_container,73942
c_phone-l_returnflag-p_size,72191
c_phone-l_returnflag-p_type,72209
c_phone-l_shipdate-p_brand,87505
c_phone-l_shipdate-p_container,92265
c_phone-l_shipdate-p_size,88736
c_phone-l_shipdate-p_type,88971
c_phone-l_shipinstruct-p_brand,75204
c_phone-l_shipinstruct-p_container,77690
c_phone-l_shipinstruct-p_size,74159
c_phone-l_shipinstruct-p_type,73078
c_phone-l_shipmode-p_brand,74285
c_phone-l_shipmode-p_container,73069
c_phone-l_shipmode-p_size,72787
c_phone-l_shipmode-p_type,69925
c_acctbal-l_commitdate-ps_availqty,120491
c_acctbal-l_commitdate-ps_supplycost,264531
c_acctbal-l_discount-ps_availqty,104156
c_acctbal-l_discount-ps_supplycost,241706
c_acctbal-l_quantity-ps_availqty,105777
c_acctbal-l_quantity-ps_supplycost,242273
c_acctbal-l_receiptdate-ps_availqty,121687
c_acctbal-l_receiptdate-ps_supplycost,261828
c_acctbal-l_returnflag-ps_availqty,101326
c_acctbal-l_returnflag-ps_supplycost,237978
c_acctbal-l_shipdate-ps_availqty,118772
c_acctbal-l_shipdate-ps_supplycost,259544
c_acctbal-l_shipinstruct-ps_availqty,102356
c_acctbal-l_shipinstruct-ps_supplycost,240200
c_acctbal-l_shipmode-ps_availqty,102562
c_acctbal-l_shipmode-ps_supplycost,240747
c_mktsegment-l_commitdate-ps_availqty,77788
c_mktsegment-l_commitdate-ps_supplycost,215750
c_mktsegment-l_discount-ps_availqty,54732
c_mktsegment-l_discount-ps_supplycost,191601
c_mktsegment-l_quantity-ps_availqty,57433
c_mktsegment-l_quantity-ps_supplycost,194243
c_mktsegment-l_receiptdate-ps_availqty,78174
c_mktsegment-l_receiptdate-ps_supplycost,214040
c_mktsegment-l_returnflag-ps_availqty,53200
c_mktsegment-l_returnflag-ps_supplycost,192615
c_mktsegment-l_shipdate-ps_availqty,74459
c_mktsegment-l_shipdate-ps_supplycost,211690
c_mktsegment-l_shipinstruct-ps_availqty,53994
c_mktsegment-l_shipinstruct-ps_supplycost,190928
c_mktsegment-l_shipmode-ps_availqty,58213
c_mktsegment-l_shipmode-ps_supplycost,190146
c_nationkey-l_commitdate-ps_availqty,79931
c_nationkey-l_commitdate-ps_supplycost,218441
c_nationkey-l_discount-ps_availqty,61171
c_nationkey-l_discount-ps_supplycost,196764
c_nationkey-l_quantity-ps_availqty,64576
c_nationkey-l_quantity-ps_supplycost,195142
c_nationkey-l_receiptdate-ps_availqty,75981
c_nationkey-l_receiptdate-ps_supplycost,218106
c_nationkey-l_returnflag-ps_availqty,59921
c_nationkey-l_returnflag-ps_supplycost,197060
c_nationkey-l_shipdate-ps_availqty,71286
c_nationkey-l_shipdate-ps_supplycost,212525
c_nationkey-l_shipinstruct-ps_availqty,61649
c_nationkey-l_shipinstruct-ps_supplycost,203378
c_nationkey-l_shipmode-ps_availqty,63433
c_nationkey-l_shipmode-ps_supplycost,200517
c_phone-l_commitdate-ps_availqty,127811
c_phone-l_commitdate-ps_supplycost,263802
c_phone-l_discount-ps_availqty,108627
c_phone-l_discount-ps_supplycost,247645
c_phone-l_quantity-ps_availqty,109756
c_phone-l_quantity-ps_supplycost,247189
c_phone-l_receiptdate-ps_availqty,122138
c_phone-l_receiptdate-ps_supplycost,266452
c_phone-l_returnflag-ps_availqty,107085
c_phone-l_returnflag-ps_supplycost,245344
c_phone-l_shipdate-ps_availqty,126197
c_phone-l_shipdate-ps_supplycost,259142
c_phone-l_shipinstruct-ps_availqty,113370
c_phone-l_shipinstruct-ps_supplycost,249099
c_phone-l_shipmode-ps_availqty,113670
c_phone-l_shipmode-ps_supplycost,243733
c_acctbal-l_commitdate-r_name,116318
c_acctbal-l_commitdate-r_regionkey,95389
c_acctbal-l_discount-r_name,82022
